,doc,subtopic,topic
17498,Oklahoma City,September 11 attacks,Terrorist Attack
17499,Al-Qaeda,September 11 attacks,Terrorist Attack
17500,Karlheinz Stockhausen,September 11 attacks,Terrorist Attack
17501,European Council,September 11 attacks,Terrorist Attack
17502,Notre-Dame de Paris,September 11 attacks,Terrorist Attack
17503,Slash (punctuation),September 11 attacks,Terrorist Attack
17504,German Parliamentary Committee investigation of the NSA spying scandal,September 11 attacks,Terrorist Attack
17505,Lucretia Grindle,September 11 attacks,Terrorist Attack
17506,Robert Cornall,September 11 attacks,Terrorist Attack
17507,Walk Like an Egyptian,September 11 attacks,Terrorist Attack
17508,As-Sahab,September 11 attacks,Terrorist Attack
17509,Ghosttown (Madonna song),September 11 attacks,Terrorist Attack
17510,New Boston Air Force Station,September 11 attacks,Terrorist Attack
17511,Australian Protective Service,September 11 attacks,Terrorist Attack
17512,Terrorism financing,September 11 attacks,Terrorist Attack
17513,Air Combat Group RAAF,September 11 attacks,Terrorist Attack
17514,WNDT-CD,September 11 attacks,Terrorist Attack
17515,Jane Hill,September 11 attacks,Terrorist Attack
17516,Nimda,September 11 attacks,Terrorist Attack
17517,Military history of New Zealand,September 11 attacks,Terrorist Attack
17518,Reign Over Me,September 11 attacks,Terrorist Attack
17519,Special Operations Engineer Regiment (Australia),September 11 attacks,Terrorist Attack
17520,Richard Hack,September 11 attacks,Terrorist Attack
17521,Why Angels Cry,September 11 attacks,Terrorist Attack
17522,Sam Riegel,September 11 attacks,Terrorist Attack
17523,Susan Whitson,September 11 attacks,Terrorist Attack
17524,"History of Greenwich, Connecticut",September 11 attacks,Terrorist Attack
17525,Goodnight Bush,September 11 attacks,Terrorist Attack
17526,Damir Kaletović,September 11 attacks,Terrorist Attack
17527,Hotel Ground Zero,September 11 attacks,Terrorist Attack
17528,Linda Bloodworth-Thomason,September 11 attacks,Terrorist Attack
17529,Mystery of the Urinal Deuce,September 11 attacks,Terrorist Attack
17530,New York City Police Department Emergency Service Unit,September 11 attacks,Terrorist Attack
17531,Afghanistanism,September 11 attacks,Terrorist Attack
17532,Duet (2006 film),September 11 attacks,Terrorist Attack
17533,Chick flick,September 11 attacks,Terrorist Attack
17534,Herbert Wachtell,September 11 attacks,Terrorist Attack
17535,Rod Black,September 11 attacks,Terrorist Attack
17536,Aftermath of the Gulf War,September 11 attacks,Terrorist Attack
17537,Awal Gul,September 11 attacks,Terrorist Attack
17538,2001 New York Yankees season,September 11 attacks,Terrorist Attack
17539,Dream (American group),September 11 attacks,Terrorist Attack
17540,Baltimore World Trade Center,September 11 attacks,Terrorist Attack
17541,Subprime mortgage crisis,September 11 attacks,Terrorist Attack
17542,Thomas F. Madden,September 11 attacks,Terrorist Attack
17543,Paul McCartney,September 11 attacks,Terrorist Attack
17544,Southwest Airlines Flight 1763,September 11 attacks,Terrorist Attack
17545,8th Special Operations Squadron,September 11 attacks,Terrorist Attack
17546,G. Willow Wilson,September 11 attacks,Terrorist Attack
17547,Chip Reid,September 11 attacks,Terrorist Attack
17548,USS Tempest (PC-2),September 11 attacks,Terrorist Attack
17549,Carnegie Council for Ethics in International Affairs,September 11 attacks,Terrorist Attack
17550,Media of South Africa,September 11 attacks,Terrorist Attack
17551,You Stupid Man,September 11 attacks,Terrorist Attack
17552,Mets–Yankees rivalry,September 11 attacks,Terrorist Attack
17553,Paper Planes (M.I.A. song),September 11 attacks,Terrorist Attack
17554,Battle of Qala-i-Jangi,September 11 attacks,Terrorist Attack
17555,Fossil fuels lobby,September 11 attacks,Terrorist Attack
17556,British Columbia Highway 15,September 11 attacks,Terrorist Attack
17557,Mary-Kay Wilmers,September 11 attacks,Terrorist Attack
17558,Textron,September 11 attacks,Terrorist Attack
17559,Magic Kingdom,September 11 attacks,Terrorist Attack
17560,2004 Australian federal election,September 11 attacks,Terrorist Attack
17561,Patience (George Michael album),September 11 attacks,Terrorist Attack
17562,Michael Meacher,September 11 attacks,Terrorist Attack
17563,Art Spiegelman,September 11 attacks,Terrorist Attack
17564,WPXN-TV,September 11 attacks,Terrorist Attack
17565,Samuel P. Huntington,September 11 attacks,Terrorist Attack
17566,Terrorism,September 11 attacks,Terrorist Attack
17567,Mick Keelty,September 11 attacks,Terrorist Attack
17568,911 (Gorillaz and D12 song),September 11 attacks,Terrorist Attack
17569,111 Eighth Avenue,September 11 attacks,Terrorist Attack
17570,Digital Consulting Institute,September 11 attacks,Terrorist Attack
17571,Orgosolo mural,September 11 attacks,Terrorist Attack
17572,Afara Websystems,September 11 attacks,Terrorist Attack
17573,Release of Abdelbaset al-Megrahi,September 11 attacks,Terrorist Attack
17574,Poet Laureate of New Jersey,September 11 attacks,Terrorist Attack
17575,Annemarie Wright,September 11 attacks,Terrorist Attack
17576,Conflicts with Ohio participation,September 11 attacks,Terrorist Attack
17577,William A. Moorman,September 11 attacks,Terrorist Attack
17578,Youth Exchange and Study Programs,September 11 attacks,Terrorist Attack
17579,Jesse Watters,September 11 attacks,Terrorist Attack
17580,Every Road Leads Back to You,September 11 attacks,Terrorist Attack
17581,USCGC Adak (WPB-1333),September 11 attacks,Terrorist Attack
17582,Thomas D. O'Rourke,September 11 attacks,Terrorist Attack
17583,Air transportation in the United States,September 11 attacks,Terrorist Attack
17584,Billy Minardi Classic,September 11 attacks,Terrorist Attack
17585,Kevin McAleenan,September 11 attacks,Terrorist Attack
17586,Christian Leaders Institute,September 11 attacks,Terrorist Attack
17587,Geri Lynch Tomich,September 11 attacks,Terrorist Attack
17588,Container Bob,September 11 attacks,Terrorist Attack
17589,Israel and Islamophobia,September 11 attacks,Terrorist Attack
17590,Beverley Bass,September 11 attacks,Terrorist Attack
17591,Phebe Hemphill,September 11 attacks,Terrorist Attack
17592,Racial and Religious Hatred Act 2006,September 11 attacks,Terrorist Attack
17593,Brian Wallows and Peter's Swallows,September 11 attacks,Terrorist Attack
17594,Catholic Church in Afghanistan,September 11 attacks,Terrorist Attack
17595,Derren Litten,September 11 attacks,Terrorist Attack
17596,Crashing Around You,September 11 attacks,Terrorist Attack
17597,Pendle Hill Quaker Center for Study and Contemplation,September 11 attacks,Terrorist Attack
17598,United States invasion of Afghanistan,September 11 attacks,Terrorist Attack
17599,Mushaf Ali Mir,September 11 attacks,Terrorist Attack
17601,Super Bowl XLVIII,September 11 attacks,Terrorist Attack
17602,Ananda Lewis,September 11 attacks,Terrorist Attack
17603,15 February 2003 anti-war protests,September 11 attacks,Terrorist Attack
17604,Ruth Laredo,September 11 attacks,Terrorist Attack
17605,United States,September 11 attacks,Terrorist Attack
17606,Thomas Cook & Son,September 11 attacks,Terrorist Attack
17607,Ali Ahmed Ali Hamad,September 11 attacks,Terrorist Attack
17608,Rose Pitonof,September 11 attacks,Terrorist Attack
17609,Edward J. Burns,September 11 attacks,Terrorist Attack
17610,Danny Forster,September 11 attacks,Terrorist Attack
17611,Good Day New York,September 11 attacks,Terrorist Attack
17612,Ileana Ros-Lehtinen,September 11 attacks,Terrorist Attack
17613,Multiculturalism,September 11 attacks,Terrorist Attack
17614,History of the world,September 11 attacks,Terrorist Attack
17615,Trump International Hotel and Tower (Chicago),September 11 attacks,Terrorist Attack
17616,Ruf! Mich! An!,September 11 attacks,Terrorist Attack
17617,Harmeet Singh Sooden,September 11 attacks,Terrorist Attack
17618,Islamophobia in the media,September 11 attacks,Terrorist Attack
17620,Jacques Benoit,September 11 attacks,Terrorist Attack
17621,Ken Matthews (public servant),September 11 attacks,Terrorist Attack
17622,Twin Towers 2,September 11 attacks,Terrorist Attack
17623,Natana J. DeLong-Bas,September 11 attacks,Terrorist Attack
17624,Events Held on The Lawn at UVA,September 11 attacks,Terrorist Attack
17625,Michael Jolley,September 11 attacks,Terrorist Attack
17626,Lloyd's of London,September 11 attacks,Terrorist Attack
17628,Service de Renseignement de l’État,September 11 attacks,Terrorist Attack
17629,Snowball's Chance,September 11 attacks,Terrorist Attack
17630,Stuart Little 2,September 11 attacks,Terrorist Attack
17631,Cofer Black,September 11 attacks,Terrorist Attack
17632,Happy Xmas (War Is Over),September 11 attacks,Terrorist Attack
17633,Scott Thompson (comedian),September 11 attacks,Terrorist Attack
17634,WABC-TV,September 11 attacks,Terrorist Attack
17635,Westfield Group,September 11 attacks,Terrorist Attack
17636,Kurt Masur,September 11 attacks,Terrorist Attack
17637,Military history of Canada,September 11 attacks,Terrorist Attack
17638,Ehsan ul Haq,September 11 attacks,Terrorist Attack
17639,Let the River Run,September 11 attacks,Terrorist Attack
17640,Dar Al-Hijrah,September 11 attacks,Terrorist Attack
17641,Industrial espionage,September 11 attacks,Terrorist Attack
17642,The Shard,September 11 attacks,Terrorist Attack
17643,NY1,September 11 attacks,Terrorist Attack
17644,Ryan Crocker,September 11 attacks,Terrorist Attack
17645,Anonymity,September 11 attacks,Terrorist Attack
17646,Fred Rogers,September 11 attacks,Terrorist Attack
17647,Sulaiman Abu Ghaith,September 11 attacks,Terrorist Attack
17648,Stellar Wind,September 11 attacks,Terrorist Attack
17649,Mary Sally Matiella,September 11 attacks,Terrorist Attack
17650,Themes in Avatar,September 11 attacks,Terrorist Attack
17651,Stephen Herbits,September 11 attacks,Terrorist Attack
17652,Berghuis v. Thompkins,September 11 attacks,Terrorist Attack
17653,2001 Rutgers Scarlet Knights football team,September 11 attacks,Terrorist Attack
17654,The One After 'I Do',September 11 attacks,Terrorist Attack
17655,Bill Warner (writer),September 11 attacks,Terrorist Attack
17656,2009 Aftonbladet Israel controversy,September 11 attacks,Terrorist Attack
17657,366th Operations Group,September 11 attacks,Terrorist Attack
17658,Isaiah Eleven,September 11 attacks,Terrorist Attack
17659,Feehan Triangle,September 11 attacks,Terrorist Attack
17660,19th AVN Awards,September 11 attacks,Terrorist Attack
17661,Hanna Segal,September 11 attacks,Terrorist Attack
17662,General Debate of the seventy-second session of the United Nations General Assembly,September 11 attacks,Terrorist Attack
17663,Rais Bhuiyan,September 11 attacks,Terrorist Attack
17664,HSC-9,September 11 attacks,Terrorist Attack
17665,I Am Singh,September 11 attacks,Terrorist Attack
17666,Richard Latendresse,September 11 attacks,Terrorist Attack
17667,ANSER,September 11 attacks,Terrorist Attack
17668,Gretchen Rehberg,September 11 attacks,Terrorist Attack
17669,Milwaukee Police Department bombing,September 11 attacks,Terrorist Attack
17670,Maple Grove Cemetery (Queens),September 11 attacks,Terrorist Attack
17671,1138th Military Police Company,September 11 attacks,Terrorist Attack
17672,Kulwant Singh (general),September 11 attacks,Terrorist Attack
17673,William J. Walker,September 11 attacks,Terrorist Attack
17674,Police surveillance in New York City,September 11 attacks,Terrorist Attack
17675,September 11th Fund,September 11 attacks,Terrorist Attack
17676,Dubois family,September 11 attacks,Terrorist Attack
17677,Atheism,September 11 attacks,Terrorist Attack
17678,Project Bioshield Act,September 11 attacks,Terrorist Attack
17679,Alex Roy,September 11 attacks,Terrorist Attack
17680,Dewan Mohammad Azraf,September 11 attacks,Terrorist Attack
17681,Shamsi Ali,September 11 attacks,Terrorist Attack
17682,Tal'at Fu'ad Qasim,September 11 attacks,Terrorist Attack
17683,Thomas v Mowbray,September 11 attacks,Terrorist Attack
17684,Tommy Gavin,September 11 attacks,Terrorist Attack
17685,183rd Fighter Wing,September 11 attacks,Terrorist Attack
17686,Islamic Research and Educational Academy,September 11 attacks,Terrorist Attack
17687,Geydar Dzhemal,September 11 attacks,Terrorist Attack
17688,Foreign relations of Djibouti,September 11 attacks,Terrorist Attack
17689,Al-Quds Mosque Hamburg,September 11 attacks,Terrorist Attack
17690,Golden Gate Bridge,September 11 attacks,Terrorist Attack
17691,Colin Murray Parkes,September 11 attacks,Terrorist Attack
17692,2001 CFL season,September 11 attacks,Terrorist Attack
17693,Camp Kilmer,September 11 attacks,Terrorist Attack
17694,Maritime Safety and Security Team,September 11 attacks,Terrorist Attack
17695,Night Visions (TV series),September 11 attacks,Terrorist Attack
17696,Harry Bosch,September 11 attacks,Terrorist Attack
17697,Inverness Airport,September 11 attacks,Terrorist Attack
17698,OPEC,September 11 attacks,Terrorist Attack
17699,NESARA,September 11 attacks,Terrorist Attack
17700,Khuda Kay Liye,September 11 attacks,Terrorist Attack
17701,South Ferry/Whitehall Street station,September 11 attacks,Terrorist Attack
17702,Richard Dannatt,September 11 attacks,Terrorist Attack
17703,Metal Wolf Chaos,September 11 attacks,Terrorist Attack
17704,Cover your ass,September 11 attacks,Terrorist Attack
17705,Rima Fakih,September 11 attacks,Terrorist Attack
17706,Appollo (dog),September 11 attacks,Terrorist Attack
17707,France–Iraq relations,September 11 attacks,Terrorist Attack
17708,Oikophobia,September 11 attacks,Terrorist Attack
17709,Critical terrorism studies,September 11 attacks,Terrorist Attack
17710,Michelle Shephard,September 11 attacks,Terrorist Attack
17711,Wolf Blitzer,September 11 attacks,Terrorist Attack
17712,You Wouldn't Steal a Car,September 11 attacks,Terrorist Attack
17713,CN Tower,September 11 attacks,Terrorist Attack
17714,Concorde,September 11 attacks,Terrorist Attack
17715,Saajid Badat,September 11 attacks,Terrorist Attack
17716,Ronald Paul Bucca,September 11 attacks,Terrorist Attack
17717,Jem (singer),September 11 attacks,Terrorist Attack
17718,Bread and Puppet Theater,September 11 attacks,Terrorist Attack
17719,Ammar al-Baluchi,September 11 attacks,Terrorist Attack
17720,Frankie Laine,September 11 attacks,Terrorist Attack
17721,American Express,September 11 attacks,Terrorist Attack
17722,1933 double eagle,September 11 attacks,Terrorist Attack
17723,Kuala Lumpur al-Qaeda Summit,September 11 attacks,Terrorist Attack
17724,Never Too Far,September 11 attacks,Terrorist Attack
17725,Joint Maritime Training Center,September 11 attacks,Terrorist Attack
17726,Andrew Card,September 11 attacks,Terrorist Attack
17727,The Man Who Folded Himself,September 11 attacks,Terrorist Attack
17728,United Airlines Flight 175,September 11 attacks,Terrorist Attack
17729,Lee Greenwood,September 11 attacks,Terrorist Attack
17730,Bilquis Edhi,September 11 attacks,Terrorist Attack
17731,PolitiFact,September 11 attacks,Terrorist Attack
17732,Caroline Hebard,September 11 attacks,Terrorist Attack
17733,Financial crisis of 2007–2008,September 11 attacks,Terrorist Attack
17734,Children's Health Fund,September 11 attacks,Terrorist Attack
17735,Threatening government officials of the United States,September 11 attacks,Terrorist Attack
17736,Agricultural subsidy,September 11 attacks,Terrorist Attack
17737,Massimo Mazzucco,September 11 attacks,Terrorist Attack
17738,A Manhã do Mundo,September 11 attacks,Terrorist Attack
17739,Siegfried Engelmann,September 11 attacks,Terrorist Attack
17740,John A. Rizzo,September 11 attacks,Terrorist Attack
17741,Stephen Evans (journalist),September 11 attacks,Terrorist Attack
17742,Janet Martin Welch,September 11 attacks,Terrorist Attack
17743,Red carpet fashion in 2002,September 11 attacks,Terrorist Attack
17744,Ahmed Hikmat Shakir,September 11 attacks,Terrorist Attack
17745,Pamela Geller,September 11 attacks,Terrorist Attack
17746,Ilhan Omar,September 11 attacks,Terrorist Attack
17747,Economics of terrorism,September 11 attacks,Terrorist Attack
17748,GroenLinks,September 11 attacks,Terrorist Attack
17749,"Blaine, Washington",September 11 attacks,Terrorist Attack
17750,German destroyer Lütjens,September 11 attacks,Terrorist Attack
17751,History of propaganda,September 11 attacks,Terrorist Attack
17752,Desert Fashion Plaza,September 11 attacks,Terrorist Attack
17753,Aperture (magazine),September 11 attacks,Terrorist Attack
17754,Atheism: A Rough History of Disbelief,September 11 attacks,Terrorist Attack
17755,Oregon Convention Center,September 11 attacks,Terrorist Attack
17756,Mark Austin (journalist),September 11 attacks,Terrorist Attack
17757,Abdel Bari Atwan,September 11 attacks,Terrorist Attack
17758,2003 Myanmar banking crisis,September 11 attacks,Terrorist Attack
17759,Vladimir Trefilov,September 11 attacks,Terrorist Attack
17760,Canadian Council for Refugees,September 11 attacks,Terrorist Attack
17761,Merrythought,September 11 attacks,Terrorist Attack
17762,Cornel Nistorescu,September 11 attacks,Terrorist Attack
17763,3rd Ranger Battalion,September 11 attacks,Terrorist Attack
17764,Political agenda,September 11 attacks,Terrorist Attack
17765,Pakistan Army,September 11 attacks,Terrorist Attack
17766,Atomic demolition munition,September 11 attacks,Terrorist Attack
17767,Teddy Altman,September 11 attacks,Terrorist Attack
17768,The Path to 9/11,September 11 attacks,Terrorist Attack
17769,Islam,September 11 attacks,Terrorist Attack
17770,Sharifa Alkhateeb,September 11 attacks,Terrorist Attack
17771,Peace X Peace,September 11 attacks,Terrorist Attack
17772,David Headley,September 11 attacks,Terrorist Attack
17773,Japan–Pakistan relations,September 11 attacks,Terrorist Attack
17774,Rob Stary,September 11 attacks,Terrorist Attack
17775,"The Big Ka-Boom, Pt. 1",September 11 attacks,Terrorist Attack
17776,The Pentagon,September 11 attacks,Terrorist Attack
17777,"AntiGravity, Inc",September 11 attacks,Terrorist Attack
17778,C1 World Dialogue,September 11 attacks,Terrorist Attack
17779,Line 1 (Tianjin Metro),September 11 attacks,Terrorist Attack
17780,Charles Winters (journalist),September 11 attacks,Terrorist Attack
17781,Eric Lipton,September 11 attacks,Terrorist Attack
17782,Bin Laden Issue Station,September 11 attacks,Terrorist Attack
17783,121st Air Refueling Wing,September 11 attacks,Terrorist Attack
17784,Alice Stewart Trillin,September 11 attacks,Terrorist Attack
17785,Manhattan Institute for Policy Research,September 11 attacks,Terrorist Attack
17786,Gracie (film),September 11 attacks,Terrorist Attack
17787,Jihad,September 11 attacks,Terrorist Attack
17788,Anthony LaPaglia,September 11 attacks,Terrorist Attack
17789,Amy Poehler,September 11 attacks,Terrorist Attack
17790,Woodrow Wilson Bridge,September 11 attacks,Terrorist Attack
17791,History of Oklahoma City,September 11 attacks,Terrorist Attack
17792,Brian Haw,September 11 attacks,Terrorist Attack
17793,CNN Airport,September 11 attacks,Terrorist Attack
17794,Rick Pitino,September 11 attacks,Terrorist Attack
17795,Roger Garaudy,September 11 attacks,Terrorist Attack
17796,Murder of Balbir Singh Sodhi,September 11 attacks,Terrorist Attack
17797,Swept Away (2002 film),September 11 attacks,Terrorist Attack
17798,Treehouse of Horror XII,September 11 attacks,Terrorist Attack
17799,Murder in Small Town X,September 11 attacks,Terrorist Attack
17800,Akhtar Mohammad Osmani,September 11 attacks,Terrorist Attack
17801,The Broken Compass,September 11 attacks,Terrorist Attack
17802,Virginia Secretary of Veterans Affairs,September 11 attacks,Terrorist Attack
17803,Joseph Masci,September 11 attacks,Terrorist Attack
17804,12 Strong,September 11 attacks,Terrorist Attack
17805,VAT 69 Commando,September 11 attacks,Terrorist Attack
17806,Zeit im Bild,September 11 attacks,Terrorist Attack
17807,Pulse nightclub,September 11 attacks,Terrorist Attack
17808,Franca Treur,September 11 attacks,Terrorist Attack
17809,Sharon Wheatley,September 11 attacks,Terrorist Attack
17810,My Year of Rest and Relaxation,September 11 attacks,Terrorist Attack
17812,"North Bay, Ontario",September 11 attacks,Terrorist Attack
17813,Stock Exchange Tower,September 11 attacks,Terrorist Attack
17814,Madison Square Garden,September 11 attacks,Terrorist Attack
17815,TV5Monde,September 11 attacks,Terrorist Attack
17816,Shaq–Kobe feud,September 11 attacks,Terrorist Attack
17817,Al Jazeera English,September 11 attacks,Terrorist Attack
17818,Ådalen shootings,September 11 attacks,Terrorist Attack
17819,WoodmenLife,September 11 attacks,Terrorist Attack
17820,Philadelphia Mint,September 11 attacks,Terrorist Attack
17821,Hero (Enrique Iglesias song),September 11 attacks,Terrorist Attack
17822,Ghosts of the Abyss,September 11 attacks,Terrorist Attack
17823,Pantera,September 11 attacks,Terrorist Attack
17824,Zakir Naik,September 11 attacks,Terrorist Attack
17825,Derby Line–Stanstead Border Crossing,September 11 attacks,Terrorist Attack
17826,Sign of the Times (Petula Clark song),September 11 attacks,Terrorist Attack
17827,Interviews of Osama bin Laden,September 11 attacks,Terrorist Attack
17828,Three Forty Three,September 11 attacks,Terrorist Attack
17829,United States Marine Corps,September 11 attacks,Terrorist Attack
17830,Newfoundland (island),September 11 attacks,Terrorist Attack
17831,Michael O'Looney,September 11 attacks,Terrorist Attack
17832,Stop Islamisation of Norway,September 11 attacks,Terrorist Attack
17833,South-West Asia Service Medal,September 11 attacks,Terrorist Attack
17834,Owen Hunt,September 11 attacks,Terrorist Attack
17835,So Cool (band),September 11 attacks,Terrorist Attack
17836,Stonehill Skyhawks,September 11 attacks,Terrorist Attack
17837,Thomas R. Wilson,September 11 attacks,Terrorist Attack
17838,History of Moncton,September 11 attacks,Terrorist Attack
17839,Zuccotti Park,September 11 attacks,Terrorist Attack
17840,Milwaukee Police Department,September 11 attacks,Terrorist Attack
17841,John Reese (Person of Interest),September 11 attacks,Terrorist Attack
17842,Al Jazeera controversies and criticism,September 11 attacks,Terrorist Attack
17843,Shereen El Feki,September 11 attacks,Terrorist Attack
17844,The South Tower (sculpture),September 11 attacks,Terrorist Attack
17846,Yankees–Red Sox rivalry,September 11 attacks,Terrorist Attack
17847,Give Peace a Chance,September 11 attacks,Terrorist Attack
17848,Air Education and Training Command,September 11 attacks,Terrorist Attack
17849,Executive Order 13224,September 11 attacks,Terrorist Attack
17850,Millennials,September 11 attacks,Terrorist Attack
17852,Crossing Jordan,September 11 attacks,Terrorist Attack
17853,Franklin Graham,September 11 attacks,Terrorist Attack
17854,Ryszard Kapuściński,September 11 attacks,Terrorist Attack
17855,Little Green Footballs,September 11 attacks,Terrorist Attack
17856,Janet Napolitano,September 11 attacks,Terrorist Attack
17857,Syracuse University,September 11 attacks,Terrorist Attack
17858,Mary Chapin Carpenter,September 11 attacks,Terrorist Attack
17859,Hollywood/Highland station,September 11 attacks,Terrorist Attack
17860,William Gropper,September 11 attacks,Terrorist Attack
17861,Wars (series),September 11 attacks,Terrorist Attack
17862,The Pet Goat,September 11 attacks,Terrorist Attack
17863,TobyMac,September 11 attacks,Terrorist Attack
17864,Milton Glaser,September 11 attacks,Terrorist Attack
17865,Centre for Dialogue,September 11 attacks,Terrorist Attack
17866,History of Milwaukee,September 11 attacks,Terrorist Attack
17867,USS Arlington (LPD-24),September 11 attacks,Terrorist Attack
17868,Never Too Far/Hero Medley,September 11 attacks,Terrorist Attack
17869,Fairbanks Daily News-Miner,September 11 attacks,Terrorist Attack
17870,Spider-Man (2002 film),September 11 attacks,Terrorist Attack
17871,Oberlin College,September 11 attacks,Terrorist Attack
17872,Guantanamo Bay detention camp,September 11 attacks,Terrorist Attack
17873,Friendship Park (San Diego–Tijuana),September 11 attacks,Terrorist Attack
17874,Drew Parks,September 11 attacks,Terrorist Attack
17875,2001 TCU Horned Frogs football team,September 11 attacks,Terrorist Attack
17876,Unforgiven (2001),September 11 attacks,Terrorist Attack
17877,The Letters (2014 film),September 11 attacks,Terrorist Attack
17878,Dr. Heresy,September 11 attacks,Terrorist Attack
17880,9-11 (Noam Chomsky),September 11 attacks,Terrorist Attack
17881,Amir Omar,September 11 attacks,Terrorist Attack
17882,Whiteman Air Force Base,September 11 attacks,Terrorist Attack
17883,Serge F. Kovaleski,September 11 attacks,Terrorist Attack
17884,The Juice Media,September 11 attacks,Terrorist Attack
17885,Ministry of the Solicitor General (Ontario),September 11 attacks,Terrorist Attack
17886,Erica Kuligowski,September 11 attacks,Terrorist Attack
17887,Amina Figarova,September 11 attacks,Terrorist Attack
17888,Maelström (film),2000 Toronto International Film Festival,Festival
17889,Camera (2000 film),2000 Toronto International Film Festival,Festival
17890,Jubilee Debt Coalition,25th G8 summit,Meetings
17891,Carnival Against Capital,25th G8 summit,Meetings
17893,Heidemarie Wieczorek-Zeul,25th G8 summit,Meetings
17894,Thom Yorke,25th G8 summit,Meetings
17895,Walbrook,25th G8 summit,Meetings
17896,Arne Mattsson,2nd Berlin International Film Festival,Festival
17897,Srećko Horvat,2017 G20 Hamburg summit,Meetings
17898,Mohammed Al-Jadaan,2017 G20 Hamburg summit,Meetings
17899,Trump Tower meeting,2017 G20 Hamburg summit,Meetings
17900,Timber Sycamore,2017 G20 Hamburg summit,Meetings
17901,EKO Cobra,2017 G20 Hamburg summit,Meetings
17902,History of Hamburg,2017 G20 Hamburg summit,Meetings
17903,Peter Steudtner,2017 G20 Hamburg summit,Meetings
17904,First 100 days of Donald Trump's presidency,2017 G20 Hamburg summit,Meetings
17905,2018 G20 Buenos Aires summit,2017 G20 Hamburg summit,Meetings
17906,Istanbul 10,2017 G20 Hamburg summit,Meetings
17907,Olaf Scholz,2017 G20 Hamburg summit,Meetings
17908,Anne Fleur Dekker,2017 G20 Hamburg summit,Meetings
17909,Peace Treaty on Korean Peninsula,2017 G20 Hamburg summit,Meetings
17910,Global Citizen Festival,2017 G20 Hamburg summit,Meetings
17911,Mexico–Venezuela relations,2017 G20 Hamburg summit,Meetings
17912,German frigate Hessen,2017 G20 Hamburg summit,Meetings
17913,GISAID,2017 G20 Hamburg summit,Meetings
17914,Dina Powell,2017 G20 Hamburg summit,Meetings
17915,Hamburg,2017 G20 Hamburg summit,Meetings
17917,Bastiaan Quast,2017 G20 Hamburg summit,Meetings
17918,Foreshock,2002 Sumatra earthquake,Earthquake
17919,Tsunami earthquake,1992 Nicaragua earthquake,Earthquake
17920,Thiruvilaiyadal,13th National Film Awards,Awards
17921,Discontinued and Intermittent National Film Awards,13th National Film Awards,Awards
17922,Nirmon,13th National Film Awards,Awards
17923,Chhoti Chhoti Baten,13th National Film Awards,Awards
17924,Kenny McCormick,2000 MTV Movie Awards,Awards
17925,South Park controversies,2000 MTV Movie Awards,Awards
17926,Julia Stiles,2000 MTV Movie Awards,Awards
17927,South Park (franchise),2000 MTV Movie Awards,Awards
17928,Trapped in the Closet (South Park),2000 MTV Movie Awards,Awards
17929,Cave Creek Complex Wildfire,Wallow Fire,Wildfire
17930,Geovisualization,Wallow Fire,Wildfire
17931,"Springerville, Arizona",Wallow Fire,Wildfire
17932,"Greer, Arizona",Wallow Fire,Wildfire
17933,Bear Wallow Wilderness,Wallow Fire,Wildfire
17934,Red Hot Chili Peppers,Woolsey Fire,Wildfire
17935,Kathryn Beck,Woolsey Fire,Wildfire
17936,Upper Las Virgenes Canyon Open Space Preserve,Woolsey Fire,Wildfire
17937,Dirty John (TV series),Woolsey Fire,Wildfire
17938,"Robert Hayward, Baron Hayward",Kegworth air disaster,News Event
17939,International Board for Research into Aircraft Crash Events,Kegworth air disaster,News Event
17940,Brace position,Kegworth air disaster,News Event
17941,Angus Wallace,Kegworth air disaster,News Event
17942,CFM International CFM56,Kegworth air disaster,News Event
17943,Myra (singer),Radio Disney Live! 2001 World Tour,Concert
17944,A-Teens,Radio Disney Live! 2001 World Tour,Concert
17945,Quick access recorder,United Airlines Flight 585,Airliner Accident
17946,Parker Hannifin,United Airlines Flight 585,Airliner Accident
17947,SilkAir,United Airlines Flight 585,Airliner Accident
17948,"Security-Widefield, Colorado",United Airlines Flight 585,Airliner Accident
17950,Copa Airlines Flight 201,United Airlines Flight 585,Airliner Accident
17951,Prince Avalanche,Bastrop County Complex Fire,Wildfire
17952,Travis County STAR Flight,Bastrop County Complex Fire,Wildfire
17953,Lost Pines Forest,Bastrop County Complex Fire,Wildfire
17954,Richard Long (broadcaster),Aramoana massacre,Civilian Attack
17955,Gun laws in New Zealand,Aramoana massacre,Civilian Attack
17956,Georgia Fabish,Aramoana massacre,Civilian Attack
17957,Karl Urban,Aramoana massacre,Civilian Attack
17958,New Zealand Police,Aramoana massacre,Civilian Attack
17959,"Heber-Overgaard, Arizona",Rodeo–Chediski Fire,Wildfire
17960,"Cibecue, Arizona",Rodeo–Chediski Fire,Wildfire
17961,Arizona,Rodeo–Chediski Fire,Wildfire
17962,Four Peaks,Rodeo–Chediski Fire,Wildfire
17963,Swedish Security Service,Assassination of Olof Palme,Civilian Attack
17964,The Mozart Brothers,Assassination of Olof Palme,Civilian Attack
17965,Sweden,Assassination of Olof Palme,Civilian Attack
17966,Vasaloppet,Assassination of Olof Palme,Civilian Attack
17967,Ingvar Carlsson,Assassination of Olof Palme,Civilian Attack
